OrderID,OrderDate,CustomerID,Country,Product,Category,Quantity,UnitPrice,TotalPrice,PaymentMethod
ORD-03972,2022-01-01,CUST-0189,USA,Headphones,Electronics,3,276.62,829.86,Credit Card
ORD-01890,2022-01-01,CUST-0288,India,Fitness Tracker,Sports,2,157.3,314.6,Credit Card
ORD-01730,2022-01-01,CUST-0451,Australia,Lipstick,Beauty,2,27.37,54.74,Debit Card
ORD-01574,2022-01-01,CUST-0447,UK,Knife Set,Home & Kitchen,5,159.18,795.9,Credit Card
ORD-03504,2022-01-01,CUST-0227,UK,Hair Dryer,Beauty,2,29.54,59.08,Debit Card
ORD-00601,2022-01-02,CUST-0144,Canada,Tablet,Electronics,3,1076.54,3229.62,Credit Card
ORD-01458,2022-01-02,CUST-0445,Canada,Yoga Mat,Sports,5,141.58,707.9,Google Pay
ORD-03275,2022-01-02,CUST-0443,Germany,Cookware Set,Home & Kitchen,5,68.14,340.7,Credit Card
ORD-04168,2022-01-02,CUST-0276,UK,T-Shirt,Clothing,3,104.21,312.63,Debit Card
ORD-03578,2022-01-02,CUST-0397,UK,Hat,Clothing,4,74.42,297.68,PayPal
ORD-00835,2022-01-03,CUST-0272,UK,Speaker,Electronics,5,1052.38,5261.9,PayPal
ORD-03355,2022-01-03,CUST-0240,UK,Camera,Electronics,1,266.7,266.7,PayPal
ORD-04444,2022-01-03,CUST-0261,India,Toaster,Home & Kitchen,1,40.66,40.66,Credit Card
ORD-02757,2022-01-03,CUST-0148,Japan,Makeup Kit,Beauty,5,11.51,57.55,Google Pay
ORD-03780,2022-01-03,CUST-0458,France,Self-Help,Books,2,40.23,80.46,Credit Card
ORD-03644,2022-01-03,CUST-0076,USA,Non-Fiction,Books,3,27.69,83.07,Apple Pay
ORD-00677,2022-01-03,CUST-0101,Mexico,Lipstick,Beauty,5,55.53,277.65,PayPal
ORD-02521,2022-01-04,CUST-0449,Japan,Lipstick,Beauty,4,23.22,92.88,Credit Card
